path,class,risk,invariant,n_distinct,n_present,val_glider,val_ultralight,val_ga_single,val_jet,val_electric
"_blad/0/_geo_xyz/1,4,1",FLIGHT,,False,4,4,,0.049688421,-0.035034910,0.000416667,-0.092389166
"_blad/0/_geo_xyz/1,4,2",FLIGHT,,False,4,4,,0.012141146,0.091441877,0.001666667,0.460342854
"_blad/0/_geo_xyz/1,5,0",FLIGHT,,False,4,4,,0.250000000,0.329999983,0.009999983,0.651538074
"_blad/0/_geo_xyz/1,5,1",FLIGHT,,False,4,4,,0.125775263,-0.127381295,0.000189394,0.115212895
"_blad/0/_geo_xyz/1,5,2",FLIGHT,,False,4,4,,0.031745572,0.200740606,0.004166667,0.892624319
"_blad/0/_geo_xyz/1,6,0",FLIGHT,,False,4,4,,0.250000000,0.329999983,0.010000000,0.651538074
"_blad/0/_geo_xyz/1,6,1",FLIGHT,,False,4,4,,0.198745146,-0.204336628,0.000000000,0.313350350
"_blad/0/_geo_xyz/1,6,2",FLIGHT,,False,4,4,,0.050546881,0.291822881,0.006250001,1.305197954
"_blad/0/_geo_xyz/1,7,0",FLIGHT,,False,4,4,,0.250000000,0.329999983,0.010000000,0.651538074
"_blad/0/_geo_xyz/1,7,1",FLIGHT,,False,4,4,,0.198745146,-0.204336628,0.000000000,0.313350350
"_blad/0/_geo_xyz/1,7,2",FLIGHT,,False,4,4,,0.050546881,0.291822881,0.006250001,1.305197954
"_blad/0/_geo_xyz/1,8,0",FLIGHT,,False,4,4,,0.250000000,0.329999983,0.010000017,0.651538074
"_blad/0/_geo_xyz/1,8,1",FLIGHT,,False,4,4,,0.136205882,-0.145067543,-0.000189394,0.241274834
"_blad/0/_geo_xyz/1,8,2",FLIGHT,,False,4,4,,0.010484818,0.188356578,0.004166667,0.862359524
"_blad/0/_geo_xyz/1,9,0",FLIGHT,,False,4,4,,0.250000000,0.329999983,0.010000036,0.651538074
"_blad/0/_geo_xyz/1,9,1",FLIGHT,,False,4,4,,0.069930285,-0.073944628,-0.000416667,0.167958751
"_blad/0/_geo_xyz/1,9,2",FLIGHT,,False,4,4,,-0.031970710,0.064196996,0.001666667,0.411898971
"_blad/0/_geo_xyz/10,0,0",FLIGHT,,False,4,4,,1.250000000,1.649999857,0.049999997,3.257690430
"_blad/0/_geo_xyz/10,0,1",FLIGHT,,False,4,4,,-0.033906177,0.044080351,0.000000000,-0.064882740
"_blad/0/_geo_xyz/10,0,2",FLIGHT,,False,4,4,,-0.196557045,-0.082740471,-0.002083333,-0.312680751
"_blad/0/_geo_xyz/10,1,0",FLIGHT,,False,4,4,,1.250000000,1.649999857,0.049999867,3.257690430
